queryIndex	stringId	ncbiTaxonId	taxonName	preferredName	annotation
11	10090.ENSMUSP00000022693	10090	Mus musculus	Bmp1	Bone morphogenetic protein 1; Cleaves the C-terminal propeptides of procollagen I, II and III. Induces cartilage and bone formation. May participate in dorsoventral patterning during early development by cleaving chordin (CHRD) (By similarity). Responsible for the proteolytic activation of lysyl oxidase LOX.
12	10090.ENSMUSP00000101834	10090	Mus musculus	Cep131	Centrosomal protein of 131 kDa; Component of centriolar satellites contributing to the building of a complex and dynamic network required to regulate cilia/flagellum formation. In proliferating cells, MIB1-mediated ubiquitination induces its sequestration within centriolar satellites, precluding untimely cilia formation initiation. In contrast, during normal and ultraviolet or heat shock cellular stress-induced ciliogenesis, its non-ubiquitinated form is rapidly displaced from centriolar satellites and recruited to centrosome/basal bodies in a microtubule- and p38 MAPK-dependent manner [...] 
13	10090.ENSMUSP00000147514	10090	Mus musculus	Cfl1	Cofilin-1; Binds to F-actin and exhibits pH-sensitive F-actin depolymerizing activity. Regulates actin cytoskeleton dynamics. Important for normal progress through mitosis and normal cytokinesis. Plays a role in the regulation of cell morphology and cytoskeletal organization. Required for the up-regulation of atypical chemokine receptor ACKR2 from endosomal compartment to cell membrane, increasing its efficiency in chemokine uptake and degradation (By similarity). Required for neural tube morphogenesis and neural crest cell migration ; Belongs to the actin-binding proteins ADF family.
14	10090.ENSMUSP00000050408	10090	Mus musculus	Cmya5	Cardiomyopathy-associated protein 5; May serve as an anchoring protein that mediates the subcellular compartmentation of protein kinase A (PKA) via binding to PRKAR2A. May attenuate calcineurin ability to induce slow-fiber gene program in muscle and may negatively modulate skeletal muscle regeneration. Plays a role in the assembly of ryanodine receptor (RYR2) clusters in striated muscle.
15	10090.ENSMUSP00000072852	10090	Mus musculus	Ctdspl	CTD small phosphatase-like protein; Preferentially catalyzes the dephosphorylation of 'Ser-5' within the tandem 7 residue repeats in the C-terminal domain (CTD) of the largest RNA polymerase II subunit POLR2A. Negatively regulates RNA polymerase II transcription, possibly by controlling the transition from initiation/capping to processive transcript elongation. Recruited by REST to neuronal genes that contain RE-1 elements, leading to neuronal gene silencing in non-neuronal cells (By similarity).
17	10090.ENSMUSP00000044437	10090	Mus musculus	Dop1b	Protein dopey-2; May be involved in protein traffic between late Golgi and early endosomes.
18	10090.ENSMUSP00000112928	10090	Mus musculus	Dpysl3	Dihydropyrimidinase-related protein 3; Necessary for signaling by class 3 semaphorins and subsequent remodeling of the cytoskeleton. Plays a role in axon guidance, neuronal growth cone collapse and cell migration (By similarity); Belongs to the metallo-dependent hydrolases superfamily. Hydantoinase/dihydropyrimidinase family.
19	10090.ENSMUSP00000014922	10090	Mus musculus	Fhod1	FH1/FH2 domain-containing protein 1; Required for the assembly of F-actin structures, such as stress fibers. Depends on the Rho-ROCK cascade for its activity. Contributes to the coordination of microtubules with actin fibers and plays a role in cell elongation. Acts synergistically with ROCK1 to promote SRC-dependent non-apoptotic plasma membrane blebbing (By similarity); Belongs to the formin homology family.
23	10090.ENSMUSP00000112110	10090	Mus musculus	Hdac7	Histone deacetylase 7; Responsible for the deacetylation of lysine residues on the N-terminal part of the core histones (H2A, H2B, H3 and H4). Histone deacetylation gives a tag for epigenetic repression and plays an important role in transcriptional regulation, cell cycle progression and developmental events. Histone deacetylases act via the formation of large multiprotein complexes. Involved in muscle maturation by repressing transcription of myocyte enhancer factors such as MEF2A, MEF2B and MEF2C. During muscle differentiation, it shuttles into the cytoplasm, allowing the expression  [...] 
24	10090.ENSMUSP00000099544	10090	Mus musculus	Hspb7	Heat shock protein beta-7.
25	10090.ENSMUSP00000048129	10090	Mus musculus	Ifi207	Interferon-activated gene 207.
26	10090.ENSMUSP00000113556	10090	Mus musculus	Itga3	Integrin alpha-3 heavy chain; Integrin alpha-3/beta-1 is a receptor for fibronectin, laminin, collagen, epiligrin, thrombospondin and CSPG4. Integrin alpha- 3/beta-1 provides a docking site for FAP (seprase) at invadopodia plasma membranes in a collagen-dependent manner and hence may participate in the adhesion, formation of invadopodia and matrix degradation processes, promoting cell invasion. Alpha-3/beta-1 may mediate with LGALS3 the stimulation by CSPG4 of endothelial cells migration.
27	10090.ENSMUSP00000028106	10090	Mus musculus	Itga8	Integrin alpha-8 heavy chain; Integrin alpha-8/beta-1 functions in the genesis of kidney and probably of other organs by regulating the recruitment of mesenchymal cells into epithelial structures. It recognizes the sequence R-G-D in a wide array of ligands including TNC, FN1, SPP1 TGFB1, TGFB3 and VTN. NPNT is probably its functional ligand in kidney genesis. Neuronal receptor for TNC it mediates cell-cell interactions and regulates neurite outgrowth of sensory and motor neurons.
28	10090.ENSMUSP00000044227	10090	Mus musculus	Itga9	Integrin alpha-9; Integrin alpha-9/beta-1 (ITGA9:ITGB1) is a receptor for VCAM1, cytotactin and osteopontin. It recognizes the sequence A-E-I-D- G-I-E-L in cytotactin.
29	10090.ENSMUSP00000068321	10090	Mus musculus	Kbtbd11	Kelch repeat and BTB domain-containing protein 11.
30	10090.ENSMUSP00000034240	10090	Mus musculus	Kifc3	Kinesin-like protein KIFC3; Minus-end microtubule-dependent motor protein. Involved in apically targeted transport. Required for zonula adherens maintenance.
31	10090.ENSMUSP00000019992	10090	Mus musculus	Lama4	Laminin subunit alpha-4; Binding to cells via a high affinity receptor, laminin is thought to mediate the attachment, migration and organization of cells into tissues during embryonic development by interacting with other extracellular matrix components.
32	10090.ENSMUSP00000036710	10090	Mus musculus	Lars2	Probable leucine--tRNA ligase, mitochondrial; Belongs to the class-I aminoacyl-tRNA synthetase family.
33	10090.ENSMUSP00000023736	10090	Mus musculus	Lmbr1l	Protein LMBR1L; Plays an essential role in lymphocyte development by negatively regulating the canonical Wnt signaling pathway. In association with UBAC2 and E3 ubiquitin-protein ligase AMFR, promotes the ubiquitin-mediated degradation of CTNNB1 and Wnt receptors FZD6 and LRP6. LMBR1L stabilizes the beta-catenin destruction complex that is required for regulating CTNNB1 levels. Acts as a LCN1 receptor and can mediate its endocytosis (By similarity); Belongs to the LIMR family.
34	10090.ENSMUSP00000001279	10090	Mus musculus	Lsr	Lipolysis-stimulated lipoprotein receptor; Probable role in the clearance of triglyceride-rich lipoprotein from blood. Binds chylomicrons, LDL and VLDL in presence of free fatty acids and allows their subsequent uptake in the cells (By similarity).
35	10090.ENSMUSP00000111359	10090	Mus musculus	Magix	PDZ domain-containing protein MAGIX.
36	10090.ENSMUSP00000062476	10090	Mus musculus	Mrpl50	39S ribosomal protein L50, mitochondrial; Belongs to the mitochondrion-specific ribosomal protein mL50 family.
37	10090.ENSMUSP00000074788	10090	Mus musculus	Pdzd2	PDZ domain-containing 2.
38	10090.ENSMUSP00000066426	10090	Mus musculus	Pfkfb2	6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 2; Synthesis and degradation of fructose 2,6-bisphosphate.
39	10090.ENSMUSP00000073402	10090	Mus musculus	Phf1	PHD finger protein 1; Polycomb group (PcG) that specifically binds histone H3 trimethylated at 'Lys-36' (H3K36me3) and recruits the PRC2 complex. Involved in DNA damage response and is recruited at double-strand breaks (DSBs). Acts by binding to H3K36me3, a mark for transcriptional activation, and recruiting the PRC2 complex: it is however unclear whether recruitment of the PRC2 complex to H3K36me3 leads to enhance or inhibit H3K27me3 methylation mediated by the PRC2 complex. According to some reports, PRC2 recruitment by PHF1 promotes H3K27me3 and subsequent gene silencing by inducing [...] 
40	10090.ENSMUSP00000049296	10090	Mus musculus	Pkd1	Polycystin-1; Component of a heteromeric calcium-permeable ion channel formed by PKD1 and PKD2 that is activated by interaction between PKD1 and a Wnt family member, such as WNT3A and WNT9B. Both PKD1 and PKD2 are required for channel activity (By similarity). Involved in renal tubulogenesis. Involved in fluid-flow mechanosensation by the primary cilium in renal epithelium. Acts as a regulator of cilium length, together with PKD2. The dynamic control of cilium length is essential in the regulation of mechanotransductive signaling. The cilium length response creates a negative feedback  [...] 
41	10090.ENSMUSP00000047564	10090	Mus musculus	Pygm	Glycogen phosphorylase, muscle form; Phosphorylase is an important allosteric enzyme in carbohydrate metabolism. Enzymes from different sources differ in their regulatory mechanisms and in their natural substrates. However, all known phosphorylases share catalytic and structural properties.
42	10090.ENSMUSP00000082910	10090	Mus musculus	Radil	Ras-associating and dilute domain-containing protein; Downstream effector of Rap required for cell adhesion and migration of neural crest precursors during development.
43	10090.ENSMUSP00000105613	10090	Mus musculus	Ralgapa2	Ral GTPase-activating protein subunit alpha-2; Catalytic subunit of the heterodimeric RalGAP2 complex which acts as a GTPase activator for the Ras-like small GTPases RALA and RALB.
44	10090.ENSMUSP00000082055	10090	Mus musculus	Rpl10	60S ribosomal protein L10; Component of the large ribosomal subunit. Plays a role in the formation of actively translating ribosomes. May play a role in the embryonic brain development.
46	10090.ENSMUSP00000039422	10090	Mus musculus	Shprh	E3 ubiquitin-protein ligase SHPRH; E3 ubiquitin-protein ligase involved in DNA repair. Upon genotoxic stress, accepts ubiquitin from the UBE2N-UBE2V2 E2 complex and transfers it to 'Lys-164' of PCNA which had been monoubiquitinated by UBE2A/B-RAD18, promoting the formation of non-canonical poly- ubiquitin chains linked through 'Lys-63'.
47	10090.ENSMUSP00000139654	10090	Mus musculus	Spcs1	Signal peptidase complex subunit 1; Component of the microsomal signal peptidase complex which removes signal peptides from nascent proteins as they are translocated into the lumen of the endoplasmic reticulum.
48	10090.ENSMUSP00000020316	10090	Mus musculus	Tbk1	Serine/threonine-protein kinase TBK1; Serine/threonine kinase that plays an essential role in regulating inflammatory responses to foreign agents. Following activation of toll-like receptors by viral or bacterial components, associates with TRAF3 and TANK and phosphorylates interferon regulatory factors (IRFs) IRF3 and IRF7 as well as DDX3X (By similarity). This activity allows subsequent homodimerization and nuclear translocation of the IRFs leading to transcriptional activation of pro-inflammatory and antiviral genes including IFNA and IFNB (By similarity). In order to establish such [...] 
49	10090.ENSMUSP00000047457	10090	Mus musculus	Tlx3	T-cell leukemia homeobox protein 3.
